Date,Open,High,Low,Close,Adj Close,Volume
2021-07-21,133.814529,135.172089,133.508606,135.086044,130.221313,5024984
2021-07-22,135.430206,135.573608,134.235184,134.521988,129.677567,3466653
2021-07-23,134.761002,135.468445,134.158707,135.124283,130.258179,4680013
2021-07-26,135.172089,136.711288,134.923523,136.491394,131.576050,4441630
2021-07-27,136.261948,137.323135,135.372849,136.472275,131.557602,3281302
2021-07-28,136.720840,136.806885,135.411087,135.535370,130.654449,2660815
2021-07-29,136.070740,136.673035,135.372849,135.688339,130.801910,2793761
2021-07-30,135.296371,135.611862,134.598465,134.761002,129.907974,3698238
2021-08-02,135.229446,136.768646,134.827911,135.200760,130.331894,3064257
2021-08-03,135.659653,138.336517,135.420654,137.734222,132.774109,4272596
2021-08-04,137.476105,137.839386,136.204590,136.481842,131.566833,2960285
2021-08-05,136.739960,137.103256,135.965576,136.491394,131.576050,2884240
2021-08-06,136.711288,138.040146,136.606125,137.753342,132.792557,4002833
2021-08-09,135.946457,136.233276,134.770554,135.038239,131.673920,5129689
2021-08-10,135.000000,135.573608,134.168259,135.162521,131.795105,5543695
2021-08-11,135.544937,136.491394,135.277252,135.879547,132.494263,4455960
2021-08-12,136.003830,136.854691,135.831741,136.778198,133.370514,2184780
2021-08-13,136.367111,137.265778,136.175903,136.883362,133.473068,1997965
2021-08-16,136.931168,137.418732,135.975143,137.275330,133.855270,2913319
2021-08-17,136.711288,136.864243,134.885284,136.156784,132.764603,3215195
2021-08-18,135.439774,135.678772,133.260040,133.336517,130.014587,3672192
2021-08-19,132.590820,133.317398,131.175903,131.950287,128.662903,4351465
2021-08-20,131.682602,133.250473,131.233276,132.992355,129.679001,2780059
2021-08-23,133.479919,133.986618,132.695984,133.479919,130.154419,3179422
2021-08-24,133.632889,134.063095,133.193115,133.690247,130.359497,2474418
2021-08-25,133.766724,134.608032,133.326965,133.709366,130.378143,2105389
2021-08-26,133.814529,134.608032,132.609940,132.676865,129.371368,2613640
2021-08-27,132.609940,133.451248,132.313583,133.279160,129.958664,2572637
2021-08-30,133.365204,133.728485,132.715103,132.858505,129.548477,2087293
2021-08-31,133.403442,134.741867,132.839386,134.168259,130.825607,4429915
2021-09-01,133.824097,133.910141,133.068832,133.173996,129.856125,2588327
2021-09-02,133.575531,133.891006,132.915863,133.852768,130.517975,2840413
2021-09-03,133.537292,134.292542,133.173996,133.441681,130.117142,2009575
2021-09-07,133.508606,133.642441,131.701721,131.988525,128.700180,3436110
2021-09-08,132.065002,132.973236,131.548752,132.571701,129.268829,3122728
2021-09-09,131.787766,132.848953,131.510513,131.682602,128.401886,3669682
2021-09-10,132.715103,133.240921,130.975143,130.994263,127.730690,4157955
2021-09-13,132.313583,132.877625,131.462708,132.074570,128.784088,4334729
2021-09-14,132.313583,132.476105,129.388138,130.229446,126.984924,4659198
2021-09-15,130.229446,131.739960,129.703629,131.166351,127.898483,3403579
2021-09-16,131.242828,131.883362,129.741867,130.430206,127.180687,2765624
2021-09-17,129.780121,129.942642,129.110901,129.282990,126.062050,5890340
